,breed,characteristic,rating
284,American Pit Bull Terrier,Exercise Needs,4
285,American Pit Bull Terrier,Potential For Playfulness,5
286,American Staffordshire Terrier,Adapts Well to Apartment Living,2
287,American Staffordshire Terrier,Good For Novice Owners,2
288,American Staffordshire Terrier,Sensitivity Level,3
289,American Staffordshire Terrier,Tolerates Being Alone,2
290,American Staffordshire Terrier,Tolerates Cold Weather,2
291,American Staffordshire Terrier,Tolerates Hot Weather,3
292,American Staffordshire Terrier,Affectionate with Family,4
293,American Staffordshire Terrier,Incredibly Kid Friendly Dogs,4
294,American Staffordshire Terrier,Dog Friendly,2
295,American Staffordshire Terrier,Friendly Toward Strangers,4
296,American Staffordshire Terrier,Amount Of Shedding,2
297,American Staffordshire Terrier,Drooling Potential,3
298,American Staffordshire Terrier,Easy To Groom,4
299,American Staffordshire Terrier,General Health,3
300,American Staffordshire Terrier,Potential For Weight Gain,2
301,American Staffordshire Terrier,Size,3
302,American Staffordshire Terrier,Easy To Train,4
303,American Staffordshire Terrier,Intelligence,4
304,American Staffordshire Terrier,Potential For Mouthiness,5
305,American Staffordshire Terrier,Prey Drive,3
306,American Staffordshire Terrier,Tendency To Bark Or Howl,4
307,American Staffordshire Terrier,Wanderlust Potential,3
308,American Staffordshire Terrier,Energy Level,3
309,American Staffordshire Terrier,Intensity,5
310,American Staffordshire Terrier,Exercise Needs,3
311,American Staffordshire Terrier,Potential For Playfulness,4
312,American Water Spaniel,Adapts Well to Apartment Living,2
313,American Water Spaniel,Good For Novice Owners,2
314,American Water Spaniel,Sensitivity Level,5
315,American Water Spaniel,Tolerates Being Alone,1
316,American Water Spaniel,Tolerates Cold Weather,2
317,American Water Spaniel,Tolerates Hot Weather,4
318,American Water Spaniel,Affectionate with Family,5
319,American Water Spaniel,Incredibly Kid Friendly Dogs,5
320,American Water Spaniel,Dog Friendly,2
321,American Water Spaniel,Friendly Toward Strangers,3
322,American Water Spaniel,Amount Of Shedding,3
323,American Water Spaniel,Drooling Potential,1
324,American Water Spaniel,Easy To Groom,3
325,American Water Spaniel,General Health,3
326,American Water Spaniel,Potential For Weight Gain,3
327,American Water Spaniel,Size,3
328,American Water Spaniel,Easy To Train,4
329,American Water Spaniel,Intelligence,3
330,American Water Spaniel,Potential For Mouthiness,5
331,American Water Spaniel,Prey Drive,2
332,American Water Spaniel,Tendency To Bark Or Howl,3
333,American Water Spaniel,Wanderlust Potential,5
334,American Water Spaniel,Energy Level,5
335,American Water Spaniel,Intensity,2
336,American Water Spaniel,Exercise Needs,5
337,American Water Spaniel,Potential For Playfulness,5
338,Anatolian Shepherd Dog,Adapts Well to Apartment Living,1
339,Anatolian Shepherd Dog,Good For Novice Owners,2
340,Anatolian Shepherd Dog,Sensitivity Level,4
341,Anatolian Shepherd Dog,Tolerates Being Alone,3
342,Anatolian Shepherd Dog,Tolerates Cold Weather,5
343,Anatolian Shepherd Dog,Tolerates Hot Weather,3
344,Anatolian Shepherd Dog,Affectionate with Family,3
345,Anatolian Shepherd Dog,Incredibly Kid Friendly Dogs,2
346,Anatolian Shepherd Dog,Dog Friendly,2
347,Anatolian Shepherd Dog,Friendly Toward Strangers,1
348,Anatolian Shepherd Dog,Amount Of Shedding,2
349,Anatolian Shepherd Dog,Drooling Potential,3
350,Anatolian Shepherd Dog,Easy To Groom,4
351,Anatolian Shepherd Dog,General Health,3
352,Anatolian Shepherd Dog,Potential For Weight Gain,3
353,Anatolian Shepherd Dog,Size,5
354,Anatolian Shepherd Dog,Easy To Train,4
355,Anatolian Shepherd Dog,Intelligence,4
356,Anatolian Shepherd Dog,Potential For Mouthiness,2
357,Anatolian Shepherd Dog,Prey Drive,2
358,Anatolian Shepherd Dog,Tendency To Bark Or Howl,2
359,Anatolian Shepherd Dog,Wanderlust Potential,4
360,Anatolian Shepherd Dog,Energy Level,3
361,Anatolian Shepherd Dog,Intensity,3
362,Anatolian Shepherd Dog,Exercise Needs,3
363,Anatolian Shepherd Dog,Potential For Playfulness,3
364,Appenzeller Sennenhunde,Adapts Well to Apartment Living,1
365,Appenzeller Sennenhunde,Good For Novice Owners,3
366,Appenzeller Sennenhunde,Sensitivity Level,3
367,Appenzeller Sennenhunde,Tolerates Being Alone,1
368,Appenzeller Sennenhunde,Tolerates Cold Weather,5
369,Appenzeller Sennenhunde,Tolerates Hot Weather,4
370,Appenzeller Sennenhunde,Affectionate with Family,5
371,Appenzeller Sennenhunde,Incredibly Kid Friendly Dogs,5
372,Appenzeller Sennenhunde,Dog Friendly,3
373,Appenzeller Sennenhunde,Friendly Toward Strangers,2
374,Appenzeller Sennenhunde,Amount Of Shedding,3
375,Appenzeller Sennenhunde,Drooling Potential,1
376,Appenzeller Sennenhunde,Easy To Groom,5
377,Appenzeller Sennenhunde,General Health,4
378,Appenzeller Sennenhunde,Potential For Weight Gain,3
379,Appenzeller Sennenhunde,Size,3
380,Appenzeller Sennenhunde,Easy To Train,4
381,Appenzeller Sennenhunde,Intelligence,4
382,Appenzeller Sennenhunde,Potential For Mouthiness,5
383,Appenzeller Sennenhunde,Prey Drive,3
384,Appenzeller Sennenhunde,Tendency To Bark Or Howl,5
385,Appenzeller Sennenhunde,Wanderlust Potential,3
386,Appenzeller Sennenhunde,Energy Level,4
387,Appenzeller Sennenhunde,Intensity,4
388,Appenzeller Sennenhunde,Exercise Needs,5
389,Appenzeller Sennenhunde,Potential For Playfulness,4
390,Australian Cattle Dog,Adapts Well to Apartment Living,2
391,Australian Cattle Dog,Good For Novice Owners,1
392,Australian Cattle Dog,Sensitivity Level,4
393,Australian Cattle Dog,Tolerates Being Alone,3
394,Australian Cattle Dog,Tolerates Cold Weather,4
395,Australian Cattle Dog,Tolerates Hot Weather,4
396,Australian Cattle Dog,Affectionate with Family,5
397,Australian Cattle Dog,Incredibly Kid Friendly Dogs,3
398,Australian Cattle Dog,Dog Friendly,4
399,Australian Cattle Dog,Friendly Toward Strangers,2
400,Australian Cattle Dog,Amount Of Shedding,3
401,Australian Cattle Dog,Drooling Potential,1
402,Australian Cattle Dog,Easy To Groom,4
403,Australian Cattle Dog,General Health,5
404,Australian Cattle Dog,Potential For Weight Gain,4
405,Australian Cattle Dog,Size,3
406,Australian Cattle Dog,Easy To Train,5
407,Australian Cattle Dog,Intelligence,5
408,Australian Cattle Dog,Potential For Mouthiness,5
409,Australian Cattle Dog,Prey Drive,4
410,Australian Cattle Dog,Tendency To Bark Or Howl,2
411,Australian Cattle Dog,Wanderlust Potential,4
412,Australian Cattle Dog,Energy Level,5
413,Australian Cattle Dog,Intensity,5
414,Australian Cattle Dog,Exercise Needs,5
415,Australian Cattle Dog,Potential For Playfulness,5
416,Australian Shepherd,Adapts Well to Apartment Living,1
417,Australian Shepherd,Good For Novice Owners,2
418,Australian Shepherd,Sensitivity Level,5
419,Australian Shepherd,Tolerates Being Alone,2
420,Australian Shepherd,Tolerates Cold Weather,4
421,Australian Shepherd,Tolerates Hot Weather,4
422,Australian Shepherd,Affectionate with Family,5
423,Australian Shepherd,Incredibly Kid Friendly Dogs,4
424,Australian Shepherd,Dog Friendly,5
425,Australian Shepherd,Friendly Toward Strangers,3
426,Australian Shepherd,Amount Of Shedding,3
427,Australian Shepherd,Drooling Potential,1
428,Australian Shepherd,Easy To Groom,1
429,Australian Shepherd,General Health,2
430,Australian Shepherd,Potential For Weight Gain,4
431,Australian Shepherd,Size,3
432,Australian Shepherd,Easy To Train,5
433,Australian Shepherd,Intelligence,5
434,Australian Shepherd,Potential For Mouthiness,4
435,Australian Shepherd,Prey Drive,4
436,Australian Shepherd,Tendency To Bark Or Howl,4
437,Australian Shepherd,Wanderlust Potential,5
438,Australian Shepherd,Energy Level,5
439,Australian Shepherd,Intensity,4
440,Australian Shepherd,Exercise Needs,5
441,Australian Shepherd,Potential For Playfulness,5
442,Australian Terrier,Adapts Well to Apartment Living,5
443,Australian Terrier,Good For Novice Owners,3
444,Australian Terrier,Sensitivity Level,2
445,Australian Terrier,Tolerates Being Alone,2
446,Australian Terrier,Tolerates Cold Weather,3
447,Australian Terrier,Tolerates Hot Weather,4
448,Australian Terrier,Affectionate with Family,4
449,Australian Terrier,Incredibly Kid Friendly Dogs,3
450,Australian Terrier,Dog Friendly,2
451,Australian Terrier,Friendly Toward Strangers,3
452,Australian Terrier,Amount Of Shedding,1
453,Australian Terrier,Drooling Potential,1
454,Australian Terrier,Easy To Groom,5
455,Australian Terrier,General Health,5
456,Australian Terrier,Potential For Weight Gain,3
457,Australian Terrier,Size,1
458,Australian Terrier,Easy To Train,3
459,Australian Terrier,Intelligence,4
460,Australian Terrier,Potential For Mouthiness,1
461,Australian Terrier,Prey Drive,5
462,Australian Terrier,Tendency To Bark Or Howl,5
463,Australian Terrier,Wanderlust Potential,4
464,Australian Terrier,Energy Level,5
465,Australian Terrier,Intensity,5
466,Australian Terrier,Exercise Needs,4
467,Australian Terrier,Potential For Playfulness,5
468,Azawakh,Adapts Well to Apartment Living,5
469,Azawakh,Good For Novice Owners,2
470,Azawakh,Sensitivity Level,3
471,Azawakh,Tolerates Being Alone,3
472,Azawakh,Tolerates Cold Weather,1
473,Azawakh,Tolerates Hot Weather,5
474,Azawakh,Affectionate with Family,4
475,Azawakh,Incredibly Kid Friendly Dogs,2
476,Azawakh,Dog Friendly,3
477,Azawakh,Friendly Toward Strangers,2
478,Azawakh,Amount Of Shedding,3
479,Azawakh,Drooling Potential,1
480,Azawakh,Easy To Groom,5
481,Azawakh,General Health,3
482,Azawakh,Potential For Weight Gain,3
483,Azawakh,Size,3
484,Azawakh,Easy To Train,3
485,Azawakh,Intelligence,3
486,Azawakh,Potential For Mouthiness,3
487,Azawakh,Prey Drive,4
488,Azawakh,Tendency To Bark Or Howl,1
489,Azawakh,Wanderlust Potential,2
490,Azawakh,Energy Level,3
491,Azawakh,Intensity,2
492,Azawakh,Exercise Needs,4
493,Azawakh,Potential For Playfulness,3
494,Barbet,Adapts Well to Apartment Living,3
495,Barbet,Good For Novice Owners,2
496,Barbet,Sensitivity Level,3
497,Barbet,Tolerates Being Alone,1
498,Barbet,Tolerates Cold Weather,4
499,Barbet,Tolerates Hot Weather,4
500,Barbet,Affectionate with Family,5
501,Barbet,Incredibly Kid Friendly Dogs,4
502,Barbet,Dog Friendly,4
503,Barbet,Friendly Toward Strangers,3
504,Barbet,Amount Of Shedding,2
505,Barbet,Drooling Potential,1
506,Barbet,Easy To Groom,1
507,Barbet,General Health,4
508,Barbet,Potential For Weight Gain,3
509,Barbet,Size,3
510,Barbet,Easy To Train,4
511,Barbet,Intelligence,4
512,Barbet,Potential For Mouthiness,2
513,Barbet,Prey Drive,3
514,Barbet,Tendency To Bark Or Howl,3
515,Barbet,Wanderlust Potential,3
516,Barbet,Energy Level,5
517,Barbet,Intensity,3
518,Barbet,Exercise Needs,3
519,Barbet,Potential For Playfulness,4
520,Basenji,Adapts Well to Apartment Living,5
521,Basenji,Good For Novice Owners,4
522,Basenji,Sensitivity Level,3
523,Basenji,Tolerates Being Alone,4
524,Basenji,Tolerates Cold Weather,1
525,Basenji,Tolerates Hot Weather,4
526,Basenji,Affectionate with Family,5
527,Basenji,Incredibly Kid Friendly Dogs,5
528,Basenji,Dog Friendly,4
529,Basenji,Friendly Toward Strangers,5
530,Basenji,Amount Of Shedding,1
531,Basenji,Drooling Potential,5
532,Basenji,Easy To Groom,5
533,Basenji,General Health,2
534,Basenji,Potential For Weight Gain,2
535,Basenji,Size,2
536,Basenji,Easy To Train,1
537,Basenji,Intelligence,4
538,Basenji,Potential For Mouthiness,5
539,Basenji,Prey Drive,5
540,Basenji,Tendency To Bark Or Howl,1
541,Basenji,Wanderlust Potential,5
542,Basenji,Energy Level,5
543,Basenji,Intensity,1
544,Basenji,Exercise Needs,5
545,Basenji,Potential For Playfulness,2
546,Basset Hound,Adapts Well to Apartment Living,5
547,Basset Hound,Good For Novice Owners,4
548,Basset Hound,Sensitivity Level,4
549,Basset Hound,Tolerates Being Alone,3
550,Basset Hound,Tolerates Cold Weather,2
551,Basset Hound,Tolerates Hot Weather,2
552,Basset Hound,Affectionate with Family,5
553,Basset Hound,Incredibly Kid Friendly Dogs,5
554,Basset Hound,Dog Friendly,5
555,Basset Hound,Friendly Toward Strangers,5
556,Basset Hound,Amount Of Shedding,4
557,Basset Hound,Drooling Potential,4
558,Basset Hound,Easy To Groom,5
559,Basset Hound,General Health,1
560,Basset Hound,Potential For Weight Gain,5
561,Basset Hound,Size,2
562,Basset Hound,Easy To Train,2
563,Basset Hound,Intelligence,4
564,Basset Hound,Potential For Mouthiness,3
565,Basset Hound,Prey Drive,5
566,Basset Hound,Tendency To Bark Or Howl,4
567,Basset Hound,Wanderlust Potential,5
568,Basset Hound,Energy Level,2
569,Basset Hound,Intensity,2
570,Basset Hound,Exercise Needs,2
571,Basset Hound,Potential For Playfulness,2
572,Beagle,Adapts Well to Apartment Living,4
573,Beagle,Good For Novice Owners,3
574,Beagle,Sensitivity Level,4
575,Beagle,Tolerates Being Alone,1
576,Beagle,Tolerates Cold Weather,2
577,Beagle,Tolerates Hot Weather,4
578,Beagle,Affectionate with Family,5
579,Beagle,Incredibly Kid Friendly Dogs,5
580,Beagle,Dog Friendly,5
581,Beagle,Friendly Toward Strangers,5
582,Beagle,Amount Of Shedding,3
583,Beagle,Drooling Potential,1
584,Beagle,Easy To Groom,4
585,Beagle,General Health,1
586,Beagle,Potential For Weight Gain,5
587,Beagle,Size,2
588,Beagle,Easy To Train,1
589,Beagle,Intelligence,4
590,Beagle,Potential For Mouthiness,3
591,Beagle,Prey Drive,5
592,Beagle,Tendency To Bark Or Howl,5
593,Beagle,Wanderlust Potential,5
594,Beagle,Energy Level,4
595,Beagle,Intensity,5
596,Beagle,Exercise Needs,4
597,Beagle,Potential For Playfulness,5
598,Bearded Collie,Adapts Well to Apartment Living,3
599,Bearded Collie,Good For Novice Owners,4
600,Bearded Collie,Sensitivity Level,4
601,Bearded Collie,Tolerates Being Alone,2
602,Bearded Collie,Tolerates Cold Weather,4
603,Bearded Collie,Tolerates Hot Weather,3
604,Bearded Collie,Affectionate with Family,5
605,Bearded Collie,Incredibly Kid Friendly Dogs,4
606,Bearded Collie,Dog Friendly,5
607,Bearded Collie,Friendly Toward Strangers,4
608,Bearded Collie,Amount Of Shedding,4
609,Bearded Collie,Drooling Potential,1
610,Bearded Collie,Easy To Groom,2
611,Bearded Collie,General Health,3
612,Bearded Collie,Potential For Weight Gain,4
613,Bearded Collie,Size,3
614,Bearded Collie,Easy To Train,5
615,Bearded Collie,Intelligence,4
616,Bearded Collie,Potential For Mouthiness,3
617,Bearded Collie,Prey Drive,3
618,Bearded Collie,Tendency To Bark Or Howl,3
619,Bearded Collie,Wanderlust Potential,5
620,Bearded Collie,Energy Level,4
621,Bearded Collie,Intensity,4
622,Bearded Collie,Exercise Needs,4
623,Bearded Collie,Potential For Playfulness,5
624,Bedlington Terrier,Adapts Well to Apartment Living,4
625,Bedlington Terrier,Good For Novice Owners,4
626,Bedlington Terrier,Sensitivity Level,3
627,Bedlington Terrier,Tolerates Being Alone,3
628,Bedlington Terrier,Tolerates Cold Weather,4
629,Bedlington Terrier,Tolerates Hot Weather,3
630,Bedlington Terrier,Affectionate with Family,5
631,Bedlington Terrier,Incredibly Kid Friendly Dogs,4
632,Bedlington Terrier,Dog Friendly,4
633,Bedlington Terrier,Friendly Toward Strangers,5
